date,fr,sr
01/08/2026,18,31
02/08/2026,45,29
03/08/2026,83,55
04/08/2026,39,05
05/08/2026,06,66
06/08/2026,82,76
07/08/2026,55,81
08/08/2026,92,26
09/08/2026,02,14
10/08/2026,27,32
11/08/2026,78,87
12/08/2026,47,57
13/08/2026,63,94
14/08/2026,86,44
15/08/2026,99,22
16/08/2026,78,08
17/08/2026,04,48
18/08/2026,29,29
19/08/2026,97,84
20/08/2026,69,77
21/08/2026,37,74
22/08/2026,42,69
23/08/2026,96,44
24/08/2026,53,71
25/08/2026,88,93
26/08/2026,19,41
27/08/2026,35,73
28/08/2026,98,74
29/08/2026,06,67
30/08/2026,57,76
31/08/2026,33,82
01/09/2026,81,73
02/09/2026,04,21
03/09/2026,40,67
04/09/2026,43,54
05/09/2026,81,33
06/09/2026,42,97
07/09/2026,79,22
08/09/2026,92,03
09/09/2026,35,89
10/09/2026,80,66
11/09/2026,52,17
12/09/2026,44,97
13/09/2026,88,43
14/09/2026,63,13
15/09/2026,19,71
16/09/2026,95,80
17/09/2026,13,58
18/09/2026,76,44
19/09/2026,21,82
20/09/2026,63,53
21/09/2026,02,47
22/09/2026,71,19
23/09/2026,39,57
24/09/2026,94,25
25/09/2026,26,95
26/09/2026,00,57
